endpoint	archivo	linea	framework
dashboard/	/home/markmur88/api_bank_h2/api/urls.py	25	Python (Django)
oauth2/callback/	/home/markmur88/api_bank_h2/api/urls.py	26	Python (Django)
oauth2/authorize/	/home/markmur88/api_bank_h2/api/urls.py	27	Python (Django)
oauth2/authorize/	/home/markmur88/api_bank_h2/api/urls.py	29	Python (Django)
oauth2/callback/	/home/markmur88/api_bank_h2/api/urls.py	30	Python (Django)
login/	/home/markmur88/api_bank_h2/api/urls.py	33	Python (Django)
logout/	/home/markmur88/api_bank_h2/api/urls.py	34	Python (Django)
signup/	/home/markmur88/api_bank_h2/api/urls.py	35	Python (Django)
dashboard/	/home/markmur88/api_bank_h2/api/urls.py	36	Python (Django)
configuraciones/	/home/markmur88/api_bank_h2/api/urls.py	38	Python (Django)
cambiar-entorno/<str:entorno>/	/home/markmur88/api_bank_h2/api/urls.py	39	Python (Django)
client/	/home/markmur88/api_bank_h2/api/urls.py	42	Python (Django)
terms-of-service/	/home/markmur88/api_bank_h2/api/urls.py	43	Python (Django)
privacy-policy/	/home/markmur88/api_bank_h2/api/urls.py	44	Python (Django)
notifications/	/home/markmur88/api_bank_h2/api/urls.py	45	Python (Django)
debtors/create/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	7	Python (Django)
debtors/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	8	Python (Django)
debtor-accounts/create/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	10	Python (Django)
debtor-accounts/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	11	Python (Django)
creditors/create/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	14	Python (Django)
creditors/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	15	Python (Django)
creditor-accounts/create/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	17	Python (Django)
creditor-accounts/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	18	Python (Django)
creditor-agents/create/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	20	Python (Django)
creditor-agents/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	21	Python (Django)
clientids/create/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	23	Python (Django)
kids/create/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	24	Python (Django)
transfers/<str:payment_id>/pdf/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	27	Python (Django)
transfers/<str:payment_id>/edit/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	29	Python (Django)
transfers/create/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	30	Python (Django)
transfers/<str:payment_id>/send/	/home/markmur88/api_bank_h2/api/gpt4/urls.py	31	Python (Django)
