timestamp,ip,port,protocol,info
2025-05-23T02:14:21.500429,127.0.0.1,8000,HTTP,GET / HTTP/1.1
2025-05-23T02:15:04.855587,127.0.0.1,8000,HTTP,GET / HTTP/1.1
